127.0.0.1 - - [01/Apr/2021:12:36:01 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/ HTTP/1.1" 200 6730
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/Upcoming-Events-Banner.jpg HTTP/1.1" 200 33860
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/Happy-Hour.png HTTP/1.1" 200 35050
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/CSS/common.css HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/shortfilm.jpg HTTP/1.1" 200 90425
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/resume.jpg HTTP/1.1" 200 53737
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/Library.jpg HTTP/1.1" 200 102387
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:36:04 -0500] "GET /EventRegistration/images/events/biology.jpg HTTP/1.1" 200 70311
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/ HTTP/1.1" 200 6730
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/CSS/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/Upcoming-Events-Banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/Happy-Hour.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/shortfilm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/biology.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/Library.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:17 -0500] "GET /EventRegistration/images/events/resume.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:41 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:43 -0500] "GET /EventRegistration/login.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:52 -0500] "POST /EventRegistration/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:52 -0500] "GET /EventRegistration/index.jsp HTTP/1.1" 200 6979
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:54 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:55 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:37:55 -0500] "GET /EventRegistration/images/events/Wichita_State_University_Header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:38:06 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [01/Apr/2021:12:38:07 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:27:58 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:02 -0500] "GET /EventRegistration/index.jsp HTTP/1.1" 200 6730
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:04 -0500] "GET /EventRegistration/login.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:09 -0500] "POST /EventRegistration/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:09 -0500] "GET /EventRegistration/index.jsp HTTP/1.1" 200 6979
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:43 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:28:45 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:29:15 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [01/Apr/2021:13:29:21 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
